question,answer,image_id
De qué color son las bandejas de papel en la estantería al lado izquierdo del divisor de la pared no en el escritorio frente a la silla de la computadora,negro,image23
Cuál es el objeto azul oscuro más pequeño en el escritorio,bolígrafo,image23
Cuál es el objeto blanco y negro en la parte superior derecha del tablero marrón,reloj,image23
De qué color es el contenedor de basura delante del tablero blanco en el suelo,azul,image28
Cuántas lámparas de techo están apagadas en esta imagen,2,image28
Cuál es el objeto negro en el lado derecho de la mesa volteada,silla,image28
Cuál es el objeto blanco más grande en esta imagen,pizarra,image28
Cuál es el objeto azul en el lado izquierdo toma de corriente detrás de la caja del ordenador,garrafa_de_agua,image30
Cuántos objetos negros hay en el escritorio,3,image30
Cuántos objetos rojos hay en la pared,1,image30
Cuáles son los objetos pequeños debajo de la pizarra,"borrador_pizarra, marcador_pizarra",image33
De qué colores están las escrituras en la pizarra,"rojo, negro",image33
Cuántas sillas hay en frente de la pizarra,1,image33
Cuántas tazas hay en la mesa delante de la pared,1,image42
De qué color es la pared detrás de las tomas de cable debajo de las pizarras,gris,image42
De qué color es todo el círculo en la pizarra,verde,image42
lo que hay detrás de la pizarra en la parte gris de la pared,tomacorriente_eléctrico,image42
Cuántos cepillos hay en el porta cepillos,2,image44
Cuántos cuadros se reflejan en el espejo,2,image44
Cuál es el objeto blanco entre la cuenca del baño y la puerta,inodoro,image44
Qué hay delante de la bolsa roja en el lavabo del baño,cepillo_pelo,image44
Cuál es el objeto blanco frente a la ventana en el lado izquierdo de la bobina del ventilador,pantalla_lámpara,image50
De qué color es la flor en la parte superior pf la bobina del ventilador,morado,image50
Cuántos marcos hay en esta imagen en el alféizar pero no en la mesa lateral,1,image50
lo que está en el lado derecho de la mesa lateral y debajo de la pintura de colores,sofá,image50
Qué hay entre dos sofás marrones oscuros y beige,estantería,image51
Cuál es el objeto de colores en el brazo del sofá beige,manta,image51
Cuál es el objeto amarillo y blanco más grande en esta imagen,almohada,image51
Cuántas fotos hay sobre el sofá marrón oscuro en el lado derecho de la estantería,2,image51
Qué hay en el piso al lado izquierdo de la puerta del armario,auricular,image59
Qué hay en el armario del lado derecho de la foto,camisas_en_percha,image59
De qué color es el aro de baloncesto sobre la silla del ordenador,"rojo, blanco",image59
Qué es el objeto de madera marrón detrás de la pantalla plana delante de la pared,tocador,image63
Qué hay entre el tocador y el escritorio en el suelo,cables,image63
De qué color es el cajón del escritorio al lado izquierdo del tocador,blanco,image63
Qué hay en el colchón frente a la pared,manta,image65
Cuántas botellas de agua hay en el puesto de noche,1,image73
De qué color es la lámpara de noche detrás de la botella de agua,negro,image73
Qué hay debajo de la manta y las almohadas en el lado izquierdo del puesto de noche,colchón,image73
Qué son los objetos blancos en el colchón,"manta, almohada",image73
De qué color es el sombrero de la lámpara en el soporte nocturno del lado izquierdo de la cama,marrón,image76
Cuál es el objeto marrón oscuro más grande en esta imagen,persianas,image76
Cuál es el objeto gris en el colchón debajo de la manta,almohada,image76
De qué color es la cabeza de cama en esta imagen,marrón,image76
Qué hay en la pared sobre el puesto de noche,imagen,image76
De qué color es el marco en la pared sobre el escritorio,negro,image77
Cuál es el objeto rojo y gris frente al espejo y cerca del borde del escritorio,desodorante,image77
Qué hay en la esquina de la pared a la vista izquierda de los ciegos,estantería,image77
Qué hay en el piso al lado izquierdo del escritorio,bicicleta,image78
Cuántas fotos enmarcadas hay en la pared,2,image78
Cuántos botones de cajón hay en esta imagen,2,image78
Cuál es el objeto marrón más pequeño en esta imagen,pantalla_lámpara,image79
Cuántos cajones tiene el puesto de noche en el lado derecho de la cama,2,image79
De qué color es la sábana debajo de la manta y las almohadas,gris,image79
Cuál es el objeto de forma rectangular en el puesto de noche en el lado derecho de la cama,computadora_portátil,image79
Qué hay en la esquina de la pared al lado izquierdo de la estantería,palo_de_hockey,image80
De qué color es el sombrero en la parte superior derecha de la estantería,"negro, blanco",image80
De qué color es la estantería delante de la pared,marrón,image80
Qué es el objeto rojo en la cómoda,desodorante,image82
Cuántos botones hay en la primera fila de los cajones,5,image82
De qué color es la manta del colchón,marrón,image82
Qué hay en la parte superior de la cómoda cerca del desodorante rojo,caja,image82
Cuántas mesas hay delante de la estantería cerca de la escalera,1,image84
Cuáles son los objetos azules y blancos sobre las mesas en el lado izquierdo de la imagen,paraguas,image84
De qué color son las estanterías de esta foto,marrón,image84
Cuántas escaleras hay en esta foto,1,image87
De qué color son las estanterías,marrón,image87
Cuál es el objeto más frecuente en esta imagen,libro,image87
De qué colores son las mochilas en la tienda,"rosa, morado, azul, negro",image91
Cuál es el objeto rojo en la columna blanca,alarma_incendios,image91
Qué hay en las cajas cerca de los cuadernos,archivador,image93
De qué color es el sombrero de la lámpara cerca del portátil en la mesa,rojo,image93
Qué objeto está hecho de vidrio y madera en esta imagen,vitrina,image93
De qué color es la pared detrás del portátil y la pantalla,morado,image93
De qué colores son las sudaderas delante de la tienda,"gris, azul, negro",image95
Cuántas escaleras hay entre el frente y el fondo de la tienda,3,image95
De qué colores son las tazas en el estante,"blanco, negro, morado, azul",image97
De qué están hechos los estantes,vidrio,image97
De qué colores son las sudaderas,"rosa, azul, negro, blanco",image99
Cuántos estantes tiene la estantería al lado izquierdo de las sudaderas,6,image99
Cuántos pasos tiene el taburete de paso,3,image104
De qué colores son las notas de las etiquetas en los estantes,"rosa, amarillo",image104
Cuántos estantes tiene la estantería cerca del taburete,7,image104
lo que está en la parte superior del monitor en el mostrador de caja,peluche,image114
Cuántas lámparas hay sobre el mostrador de caja en esta imagen,2,image114
Qué hay debajo del mostrador y detrás de la alfombra del piso,radiador,image123
Qué hay en la parte superior del mostrador entre las tazas de papel y las cajas de papel,dispensador_de_servilletas,image123
Cuántas pizarras hay en la foto,3,image123
Cuántos vasos hay en el mostrador,4,image124
Qué hay entre la taza blanca y las tazas de papel en el mostrador,planta_ornamental,image124
De qué color es el contador,"blanco, marrón",image124
Qué hay en el gabinete delante del estante de platos,cacerola,image130
Cuántos platos hay en el estante de platos,2,image130
Cuántos armarios hay por encima del fregadero y el estante de platos,3,image130
Cuántos niveles tiene el estante de especias,3,image133
Qué está colgando en la pared entre el estante de especias y el gabinete,toalla_de_cocina,image133
De qué color es el gabinete sobre el fregadero,blanco,image133
Cuál es el objeto eléctrico en el gabinete,licuadora,image134
De qué color es la toalla de la cocina colgada en el mango del gabinete,amarillo,image134
Qué hay en la puerta del refrigerador,imagen,image134
Qué hay encima del horno en la pared,microondas,image136
Qué hay en el estante en la pared,botella_de_especias,image136
De qué está hecho el plato del horno,papel_de_aluminio,image136
De qué color es el horno de la tostadora en la parte superior del gabinete,blanco,image139
De qué color es el salero debajo del enchufe,rojo,image139
Cuántos objetos eléctricos hay en el gabinete,2,image139
Qué hay en el gabinete delante de la tetera eléctrica,pelador_de_verduras,image140
Qué hay delante del estante del horno,grifo,image140
Qué hay entre la pared y la tijereta en el lado derecho del fregadero,jarra,image140
Qué hay en la parte superior del horno,"tabla_de_cortar, olla",image145
Cuántos botones tiene el horno,4,image145
Qué hay en el gabinete al lado izquierdo de la olla,horno_tostadora,image145
Qué hay en la parte superior de la bobina del ventilador,libro,image156
Qué hay entre la bobina del ventilador y el sofá,"soporte_de_tv, televisión",image156
De qué color son las persianas,blanco,image156
Qué hay debajo del interruptor de luz en el lado derecho de la puerta,paquete_de_agua_embotellada,image159
Qué está apoyado contra la pared en el pasillo,silla,image163
Qué hay en el soporte de la televisión,dvd,image163
Qué hay en el soporte de TV de madera,libro,image164
Cuántos cuencos hay en el soporte de la televisión,2,image164
Cuántos marcos hay en la pared,1,image167
Qué hay en la mesa de lado cerca de las revistas,cenicero,image168
Cuál es el objeto de vidrio cerca de la mesa lateral,jarrón,image168
De qué color son las toallas reflejadas en el espejo,azul,image170
Cuántos colores tiene la cortina de ducha,4,image170
Qué hay en el lado derecho del grifo,botella_de_líquido_para_lavar_manos,image170
Qué es el objeto de madera delante del radiador,tocador,image171
Qué hay en la estantería superior de la caja de libros,libro,image171
De qué color es el sillón del lado derecho de la puerta,marrón,image171
Qué hay en el sillón marrón oscuro en el lado derecho de la puerta,"almohada, mochila",image172
Qué hay en la mesa entre los sillones marrones oscuros,"papel, libro",image172
De qué color es la alfombra debajo de la cama,verde,image172
Cuál es el objeto negro más grande en esta imagen,televisión,image177
Cuántas fotos hay en la pared alrededor del televisor,3,image177
De qué color es la tabla de planchar en el lado derecho de la imagen,blanco,image181
Qué hay debajo de la manta enrollada,cartón,image181
De qué color es la sombra de la lámpara de mesa cerca de la estantería,blanco,image181
Qué es el objeto rectangular negro en el colchón,control_remoto,image183
Cuántos objetos negros hay en la cama,3,image183
Cuántas botellas hay en la parte superior de la estantería,4,image187
Qué hay debajo de los jeans azules,"escritorio, caja",image187
Cuántas lámparas hay encendidas en esta imagen,1,image187
Cuántos marcos hay en la pared,2,image192
Qué hay debajo del televisor,tocador,image192
De qué color es la esponja de lavado de platos cerca del fregadero,"verde, amarillo",image194
Qué son los objetos de madera en esta imagen,"gabinete, tabla_de_cortar",image194
De qué color es el estante de platos,negro,image194
Qué objetos están alrededor del fregadero,"cepillo_para_el_pelo, botella_de_líquido_para_lavar_manos, portacepillos, cepillo_de_dientes, grifo, manija_del_grifo",image195
lo que se refleja en el espejo,cortina_de_la_ducha,image195
Cuál es el objeto más grande en el gabinete,frasco,image198
Qué hay en la fila inferior del gabinete,cebolla,image198
De qué color es la jarra cerca del tazón,blanco,image198
Cuál es el objeto amarillo cerca del grifo,cepillo_platos,image204
De qué color es la tabla de corte detrás del estante de platos,blanco,image204
Cuántos aparatos eléctricos hay en el armario,2,image205
Qué hay entre el gabinete y la pared,refrigerador,image205
Qué hay en el armario detrás del rollo de toallas de papel y la lata,olla_de_cocina,image206
Cuántas toallas de cocina hay en el armario,2,image206
De qué color son las puertas de los armarios,blanco,image206
Cuántos marcos hay en la pared de la cocina,2,image207
De qué color es la toalla de la cocina colgada en el mango del gabinete,blanco,image207
lo que está en la parte superior de la estantería debajo del marco,caja,image207
Qué hay en la estantería superior de la estantería cerca de la escultura de forma de cara,vela_decorativa,image207
De qué color es la silla delante del escritorio,rojo,image210
Cuál es el objeto gris cerca del tablero blanco,cortina,image210
Cuántas capas tiene el portaarchivos en el escritorio,3,image210
lo que está colgando del techo sobre la mesa,lámpara_de_araña,image223
De qué color es la columna en el centro de la tienda,marrón,image223
Cuántos estantes tiene el armario con platos de color verde claro,4,image223
De qué color son las alfombras de la mesa de la izquierda de la foto,rosa,image225
Cuáles son los objetos de forma de círculo en la mesa del lado derecho de la imagen,caja,image234
Qué tipo de contenedores hay en los estantes de pared marrones oscuros,jarrón,image234
Cuántas lámparas hay por encima de la caja,2,image234
Cuántos jarrones hay en la mesa de café frente al sillón azul claro,2,image237
Cuántos colores tienen los sillones y sus cojines,2,image237
Qué colores tienen los taburetes alrededor de la mesa,"azul, blanco",image239
Qué está apoyado contra la pared en el lado izquierdo del gabinete blanco,escalera,image239
De qué color es la lámpara colgada del techo,negro,image245
De qué color es el tubo detrás del divisor de la habitación,rojo,image245
Qué hay en el estante del lado derecho de la habitación,cuenco_decorativo,image245
Cuántas sillas negras hay detrás de la mesa de café,2,image248
De qué color es el tocador debajo de la sombra de la lámpara blanca,blanco,image248
De qué color es la mesa debajo de la lámpara negra,blanco,image249
Cuántos cojines hay en el sofá negro,2,image249
Cuántos marcos de gran tamaño hay en la pared,2,image249
Cuántas filas tiene el estante de especias,4,image252
Cuántas asas tiene el grifo,1,image252
Cuántos controles remotos hay en el soporte de la televisión,1,image259
Qué son los objetos negros en el soporte de la televisión,"televisión, reproductor_de_dvd",image259
Cuántos taburetes altos hay delante del mostrador de la cocina,2,image263
Qué hay al lado derecho del mostrador de la cocina cerca de la pared,báscula,image263
De qué color es el mantel,verde,image263
Cuántas sillas hay alrededor de la mesa de conferencias en esta imagen,5,image271
De qué colores es la mesa de conferencias,"marrón, negro",image271
Cuál es el objeto rojo en esta imagen,alarma_incendios,image273
De qué colores son los contenedores de basura cerca de la pared,"blanco, azul",image273
De qué color es la luz sobre la puerta al final de la habitación,rosa,image275
Qué hay en la pared del lado izquierdo de la habitación,pizarra,image275
Cuál es el objeto azul más grande en esta imagen,mesa,image276
Cuántos juguetes hay en la cama,3,image280
lo que está en el piso y en el lado derecho de la pintura,caja_de_juguetes,image280
De qué color es la persiana,blanco,image280
Cuál es el objeto más colorido en esta imagen,alfombra,image285
De qué color es la silla en la alfombra,azul,image285
De qué color son los círculos en la imagen debajo de la pizarra,verde,image285
Cuántas sillas de rodar hay en esta foto,1,image290
De qué color es la imagen del lado derecho de la pizarra,"amarillo, rojo, naranja",image290
Cuántos contenedores de plástico hay debajo de la mesa delante de la pared,6,image292
Qué está cubriendo la pared sobre el gabinete,imagen,image292
De qué colores son los contenedores de basura,"azul, gris",image292
De qué colores son los círculos en la parte posterior de las sillas,"verde, amarillo",image294
Qué hay en el lado derecho del escritorio en el suelo,cubo_de_basura,image294
Cuál es el objeto redondo al final de la habitación frente a las cajas azules,globo_terráqueo,image308
De qué color es el sombreador de la lámpara en el escritorio,rojo,image308
Qué está colgando en los perchas en el lado derecho de la habitación,mochila,image309
Cuántas lámparas hay en el techo,2,image309
Qué objetos se usan en esta sala para mostrar al mundo,"globo_terráqueo, mapa",image309
Cuál es el objeto redondo de colores en el suelo,alfombra,image316
De qué colores son los cuadernos en la mesa azul,"naranja, blanco",image316
Cuántas sillas hay alrededor de la mesa verde,6,image317
De qué colores son las mesas con los cuadernos naranjas,"amarillo, verde",image317
De qué color son las camisetas de los niños,rojo,image318
De qué color son los porta lápices en la mesa del lado derecho de la habitación,verde,image318
Qué hay en el tablero marrón en la pared,papel,image318
Cuál es el objeto en forma de flor en el sofá de juguete,almohada,image325
Qué objeto tiene el diseño en forma de círculo,alfombra,image325
De qué color es el frasco de agua en el escritorio,azul,image334
Cuántos monitores están apagados en esta imagen,4,image334
Qué es el objeto redondo en la pared,reloj,image336
Cuántos ratones de ordenador hay en esta imagen,3,image336
Qué hay en la esquina de la pared,pizarra,image339
De qué colores son las paredes en esta foto,"amarillo, blanco",image339
Cuál es el objeto rojo en el escritorio,portalápices,image360
De qué color es la persiana,blanco,image360
Cuántos marcos hay en el escritorio,1,image360
Qué hay en el tablero marrón en el escritorio,"papel, foto",image361
Qué hay en la taza roja en el escritorio,"bolígrafo, lápiz",image361
Cuál es el objeto más frecuente en la habitación,libro,image374
Qué hay en el escritorio,"tapete_de_escritorio, papel, libro, dispensador_de_servilletas",image374
De qué color es el marco delante de la estantería en el suelo,negro,image377
De qué color es el papel debajo del marco negro en el suelo,rosa,image377
Cuántos tonos de lámpara de pared hay en la imagen,1,image381
Cuántos cajones hay en el lado izquierdo del escritorio,10,image381
De qué color es el sofá de cuero,marrón,image383
Cuántas sillas hay delante del escritorio,2,image383
Qué hay en el escritorio,libro,image384
De qué color es la pared detrás de la silla de cuero,marrón,image384
Cuántos monitores blancos hay en el escritorio,1,image389
Qué hay al lado izquierdo del escritorio cerca de un montón de papel,impresora,image389
De qué color es la bolsa de plástico en el escritorio,"blanco, rojo",image390
Cuántas carpetas de papel blanco hay en el escritorio,2,image390
Cuántos marcos hay en la pared,4,image396
De qué color son las persianas,blanco,image396
Cuántos estantes hay sobre el monitor,2,image396
Qué hay en el lado derecho de la estantería,casa_de_juguetes,image400
De qué color es la silla mecedora delante de la estantería,blanco,image400
Cuántas sillas de juguete hay en el suelo,2,image402
De qué color es el contenedor de juguete de plástico en la silla de juguete,azul,image402
Cuál es el objeto redondo entre los sillones,otomana,image403
Qué hay detrás de los sillones y el otoman,barandilla,image403
Qué hay en la esquina de la pared cerca del contenedor de basura,dispensador_de_agua,image414
De qué color es la puerta del contenedor de basura,negro,image414
De qué color son las sillas alrededor de la mesa,rojo,image414
Cuál es el objeto azul más grande en esta imagen,garrafa_de_agua,image417
De qué color es el asiento de la silla,negro,image417
Qué es la caja púrpura en la mesa,dispensador_de_servilletas,image419
De qué color es la sábana,azul,image419
Cuántas toallas rosas hay en la pila de ropa,1,image419
Qué tipo de mesas hay en la imagen,"mesa_futbolín, mesa_de_juguetes",image422
Cuántos marcos hay en la pared cerca de la ventana,6,image422
Qué es el juguete blanco y negro detrás de la mesa de fútbol en el suelo,pelota,image422
Cuántos pares de calcetines hay en la mesa de juguete,1,image424
De qué color es el mostrador de la cocina,rojo,image432
Cuántos taburetes de cocina hay delante del mostrador de la cocina,2,image432
De qué color es la alfombra en forma de círculo debajo del taburete,rojo,image432
Qué hay entre las dos sillas negras en el suelo,otomana,image434
Qué objeto decorativo está en esta imagen,jarrón,image434
Qué hay en la puerta del armario,espejo,image441
De qué color son las persianas,blanco,image441
Cuántas fotos hay en la pared del lado derecho de la ventana,2,image441
lo que está en el piso en el lado izquierdo de la estantería,camión_de_juguetes,image442
Qué hay entre el camión de juguetes y el estante de juguetes,casa_de_muñecas,image443
De qué color es el contenedor de juguete de plástico cerca de la puerta,azul,image443
Cuántas cajas de juguetes hay en la parte superior del estante de juguetes,2,image443
Cuántas casas de muñecas hay en la habitación,3,image444
De qué color es el taburete cerca de la toalla para bebé,"negro, blanco",image444
De qué color es la puerta de la casa de muñecas delante de la pared detrás del sillón,"azul, rojo",image444
De qué colores son las sillas plegables,"verde, amarillo",image445
Cuál es el objeto azul oscuro más grande en esta imagen,sofá,image445
Cuántas cajas de juguetes hay en el suelo,2,image447
Cuál es el objeto amarillo en el suelo en el lado derecho de la caja de juguetes,silla,image447
Cuántos dispensadores de cinta hay en el gabinete debajo del tablero marrón,3,image450
De qué color son los armarios,marrón,image450
Qué hay en la silla detrás del mostrador,chaqueta,image453
Cuántas plumas hay en el mostrador,2,image453
Cuántos marcos están colgando en la pared,3,image462
De qué colores es la alfombra debajo de la mesa de café,"negro, marrón, blanco, gris, rosa",image462
Cuántas puertas tiene la estantería,4,image472
Cuál es el objeto de madera más grande en esta imagen,estantería,image472
Qué hay en la mesa de fondo entre las sillas,libro,image478
Cuántos objetos de cuatro patas hay en esta imagen,4,image478
Cuál es el objeto negro más grande en esta imagen,sofá,image488
De qué color es la mesa lateral del lado izquierdo del sofá,marrón,image488
Cuántos enchufes eléctricos hay detrás de la sombra de la lámpara,2,image488
Cuántas cajas de plástico blancas están cerca de la pared,3,image491
Qué es el objeto blanco en forma de cilindro frente a la pared,calentador_de_agua,image491
Qué hay en el suelo delante del inodoro,tapete_de_piso,image506
Qué hay en la cesta del lado derecho del inodoro,revista,image506
De qué color es la alfombra del baño en el suelo,rojo,image508
De qué está hecha la puerta de la ducha,vidrio,image508
De qué color es el marco de la ventana,blanco,image508
Qué tipo de cepillo de dientes está cerca del fregadero,cepillo_de_dientes_eléctrico,image509
Qué hay al lado izquierdo del grifo con tapa negra,botella_de_listerine,image509
Cuántos cepillos eléctricos hay cerca del fregadero,3,image509
Qué son los objetos dorados debajo del espejo,"grifo, mango_de_grifo",image510
De qué color es el patrón de flores en el vidrio del lado derecho del mango del grifo,blanco,image510
Qué hay al lado izquierdo del fregadero,"maquinilla_de_afeitar, pasta_de_dientes",image511
Cuál es el objeto blanco en el lado izquierdo del inodoro,bañera,image511
De qué color es el recipiente de lavado de manos en el lado izquierdo del grifo,marrón,image511
De qué color es el marco del espejo cerca del armario,blanco,image515
Cuántas piezas tiene la cortina,2,image515
Cuántos sombreros hay delante de la ventana,2,image516
De qué color son las sábanas,rojo,image516
Qué hay en el escritorio cerca de la estantería,libro,image517
De qué color es el bata en el estante de secado de ropa,negro,image517
cuál es el electrodoméstico eléctrico que está en el lado derecho de la mesa,ropa_plancha,image523
Cuál es el objeto azul en el lado izquierdo del hierro de la ropa,tabla_de_planchar,image523
De qué color es la persiana sobre la mesa,blanco,image523
Qué objeto tiene el patrón de círculo de colores,sábanas,image525
Cuántos cajones tiene el puesto de noche,2,image525
Cuáles son los objetos más coloridos en esta imagen,"mapa, sábanas",image525
Qué colores tienen los círculos de la sábana,"amarillo, naranja, negro, morado",image526
Cuál es el objeto marrón oscuro más grande en esta imagen,tocador,image526
cuántas almohadas hay en el colchón,2,image532
Cuál es el objeto verde y azul en esta imagen,manta,image532
Qué hay en el lado izquierdo del colchón en el suelo,"papel, dispensador_de_servilletas",image532
De qué color es la sábana del colchón,verde,image534
Cuántos objetos de color azul oscuro hay en la cama,1,image534
De qué color es la cesta de ropa en el suelo,blanco,image539
Cuál es el aparato eléctrico en el estante superior de la estantería y cerca de la cesta,secador_de_pelo,image542
Qué objeto enrollado está en esta habitación,tapete_de_yoga,image542
Cuántos estantes tiene la estantería,4,image542
De qué color es el sombrero de la lámpara delante de la ventana,blanco,image546
Qué hay en el lado izquierdo de la mesa redonda de 3 niveles,ventana,image548
De qué color es el marco de la puerta,marrón,image548
Cuántas esculturas hay en la parte superior de la mesa redonda,2,image548
De qué color es el porta toallas de papel en la mesa de comedor,marrón,image550
Cuántas sillas hay alrededor de la mesa,6,image550
Cuántos cajones tiene el archivador,4,image552
de qué color es el contenedor de archivos en el armario de archivos,blanco,image552
Qué es el objeto de madera en el gabinete apoyado contra la pared,tabla_de_cortar,image564
De qué color son los botones de los cajones,blanco,image564
Qué está colgando en la pared en el lado izquierdo de la puerta de la manera,calendario,image564
Cuál es el aparato eléctrico cerca del estante de platos,batidora_eléctrica,image568
Cuál es el objeto rojo debajo del mostrador de la cocina en el lado izquierdo del taburete,extintor,image569
